team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
11 CRISTANTE UNITED,Barella,C,Inter,37.0,18.0,14.0,4.0,58.0,29.0,-8.0,29,198.0,209.5,6.83,0.9451,5.351351351351352,5.662162162162162
CUORE LAZIALE,Pulisic,C,Milan,93.0,24.0,28.0,-4.0,100.0,50.0,-43.0,16,93.0,93.0,5.81,1.0,1.0,1.0
11 CRISTANTE UNITED,Mazzitelli,C,Cagliari,6.0,10.0,5.0,5.0,12.0,6.0,0.0,0,0.0,6.0,,0.0,0.0,1.0
CUORE LAZIALE,Zaniolo,C,Udinese,9.0,19.0,11.0,8.0,100.0,50.0,41.0,31,213.0,213.0,6.87,1.0,23.666666666666668,23.666666666666668
11 CRISTANTE UNITED,Calhanoglu,C,Inter,32.0,24.0,23.0,1.0,190.0,95.0,63.0,17,130.5,155.0,7.68,0.8419,4.078125,4.84375
CUORE LAZIALE,Loftus-Cheek,C,Milan,20.0,10.0,8.0,2.0,12.0,6.0,-14.0,17,111.5,122.5,6.56,0.9102,5.575,6.125
11 CRISTANTE UNITED,Pobega,C,Bologna,6.0,8.0,8.0,0.0,13.0,6.5,0.5,2,8.5,41.5,4.25,0.2048,1.4166666666666667,6.916666666666667
CUORE LAZIALE,Harrison,C,Fiorentina,4.0,11.0,10.0,1.0,23.0,11.5,7.5,3,17.5,88.5,5.83,0.1977,4.375,22.125
11 CRISTANTE UNITED,Da Cunha,C,Como,6.0,20.0,12.0,8.0,80.0,40.0,34.0,18,129.0,227.5,7.17,0.567,21.5,37.916666666666664
CUORE LAZIALE,Berisha M.,C,Lecce,7.0,7.0,3.0,4.0,9.0,4.5,-2.5,0,0.0,0.0,,,0.0,0.0
11 CRISTANTE UNITED,Aebischer,C,Pisa,2.0,6.0,4.0,2.0,12.0,6.0,4.0,8,49.0,169.0,6.12,0.2899,24.5,84.5
CUORE LAZIALE,Zaragoza,C,Roma,8.0,4.0,7.0,-3.0,10.0,5.0,-3.0,3,18.0,18.0,6.0,1.0,2.25,2.25
11 CRISTANTE UNITED,Baturina,C,Como,15.0,24.0,9.0,15.0,95.0,47.5,32.5,17,120.0,170.5,7.06,0.7038,8.0,11.366666666666667
CUORE LAZIALE,Lukaku,A,Napoli,30.0,15.0,31.0,-16.0,10.0,5.0,-25.0,1,10.5,10.5,10.5,1.0,0.35,0.35
11 CRISTANTE UNITED,Thuram,A,Inter,139.0,32.0,29.0,3.0,270.0,135.0,-4.0,27,211.5,211.5,7.83,1.0,1.5215827338129497,1.5215827338129497
CUORE LAZIALE,Piccoli,A,Fiorentina,4.0,9.0,17.0,-8.0,15.0,7.5,3.5,3,16.5,60.5,5.5,0.2727,4.125,15.125
11 CRISTANTE UNITED,Nzola,A,Sassuolo,6.0,10.0,12.0,-2.0,15.0,7.5,1.5,18,112.5,157.5,6.25,0.7143,18.75,26.25
CUORE LAZIALE,Soulè,A,Roma,78.0,20.0,20.0,0.0,85.0,42.5,-35.5,27,181.5,203.5,6.72,0.8919,2.326923076923077,2.608974358974359
11 CRISTANTE UNITED,Vitinha O.,A,Genoa,11.0,13.0,12.0,1.0,20.0,10.0,-1.0,7,38.5,65.5,5.5,0.5878,3.5,5.954545454545454
CUORE LAZIALE,De Ketelaere,A,Atalanta,45.0,16.0,22.0,-6.0,59.0,29.5,-15.5,25,172.5,195.0,6.9,0.8846,3.8333333333333335,4.333333333333333
11 CRISTANTE UNITED,Castro S.,A,Bologna,67.0,17.0,19.0,-2.0,30.0,15.0,-52.0,33,217.5,217.5,6.59,1.0,3.246268656716418,3.246268656716418
CUORE LAZIALE,Solomon,A,Fiorentina,7.0,8.0,7.0,1.0,18.0,9.0,2.0,4,28.5,51.0,7.12,0.5588,4.071428571428571,7.285714285714286
11 CRISTANTE UNITED,Bonny,A,Inter,22.0,20.0,5.0,15.0,15.0,7.5,-14.5,10,76.5,176.5,7.65,0.4334,3.477272727272727,8.022727272727273
CUORE LAZIALE,Pellegrino M.,A,Parma,53.0,18.0,13.0,5.0,67.0,33.5,-19.5,23,170.0,239.5,7.39,0.7098,3.207547169811321,4.518867924528302
11 CRISTANTE UNITED,Kuhn,A,Como,3.0,5.0,14.0,-9.0,9.0,4.5,1.5,0,0.0,13.0,,0.0,0.0,4.333333333333333
U CAN U UP,Provedel,P,Lazio,10.0,11.0,12.0,-1.0,15.0,7.5,-2.5,25,144.5,144.5,5.78,1.0,14.45,14.45
TEAM ASBOVE,Meret,P,Napoli,42.0,8.0,16.0,-8.0,20.0,10.0,-32.0,4,19.5,47.0,4.88,0.4149,0.4642857142857143,1.119047619047619
U CAN U UP,Furlanetto,P,Lazio,1.0,3.0,1.0,2.0,1.0,0.5,-0.5,2,10.0,10.0,5.0,1.0,10.0,10.0
TEAM ASBOVE,Butez,P,Como,5.0,16.0,10.0,6.0,95.0,47.5,42.5,16,97.5,210.0,6.09,0.4643,19.5,42.0
U CAN U UP,Motta,P,Lazio,1.0,5.0,1.0,4.0,15.0,7.5,6.5,9,48.5,48.5,5.39,1.0,48.5,48.5
TEAM ASBOVE,Bijlow,P,Genoa,4.0,10.0,10.0,0.0,10.0,5.0,1.0,4,20.5,74.5,5.12,0.2752,5.125,18.625
U CAN U UP,Gabbia,D,Milan,6.0,5.0,6.0,-1.0,14.0,7.0,1.0,21,121.5,157.5,5.79,0.7714,20.25,26.25
TEAM ASBOVE,Acerbi,D,Inter,7.0,5.0,9.0,-4.0,10.0,5.0,-2.0,11,64.5,83.0,5.86,0.7771,9.214285714285714,11.857142857142858
U CAN U UP,Zortea,D,Bologna,10.0,8.0,16.0,-8.0,12.0,6.0,-4.0,12,72.5,153.5,6.04,0.4723,7.25,15.35
TEAM ASBOVE,Spinazzola,D,Napoli,13.0,16.0,7.0,9.0,33.0,16.5,3.5,17,110.0,115.5,6.47,0.9524,8.461538461538462,8.884615384615385
U CAN U UP,Miranda J.,D,Bologna,14.0,10.0,9.0,1.0,25.0,12.5,-1.5,26,161.5,189.0,6.21,0.8545,11.535714285714286,13.5
TEAM ASBOVE,Bremer,D,Juventus,26.0,20.0,13.0,7.0,74.0,37.0,11.0,23,160.0,166.5,6.96,0.961,6.153846153846154,6.403846153846154
U CAN U UP,Holm,D,Juventus,8.0,10.0,8.0,2.0,8.0,4.0,-4.0,1,5.5,36.5,5.5,0.1507,0.6875,4.5625
TEAM ASBOVE,Celik,D,Roma,10.0,14.0,7.0,7.0,14.0,7.0,-3.0,18,112.5,118.0,6.25,0.9534,11.25,11.8
U CAN U UP,Gatti,D,Juventus,16.0,5.0,8.0,-3.0,8.0,4.0,-12.0,8,50.0,89.5,6.25,0.5587,3.125,5.59375
TEAM ASBOVE,Vasquez,D,Genoa,14.0,11.0,9.0,2.0,26.0,13.0,-1.0,7,43.5,82.0,6.21,0.5305,3.107142857142857,5.857142857142857
U CAN U UP,Veiga D.,D,Lecce,2.0,5.0,1.0,4.0,13.0,6.5,4.5,7,38.5,86.0,5.5,0.4477,19.25,43.0
TEAM ASBOVE,Norton-Cuffy,D,Genoa,2.0,7.0,3.0,4.0,14.0,7.0,5.0,13,84.5,155.0,6.5,0.5452,42.25,77.5
U CAN U UP,Canestrelli,D,Pisa,2.0,5.0,3.0,2.0,11.0,5.5,3.5,7,38.5,81.0,5.5,0.4753,19.25,40.5
TEAM ASBOVE,Heggem,D,Bologna,4.0,4.0,4.0,0.0,12.0,6.0,2.0,14,80.0,138.0,5.71,0.5797,20.0,34.5
U CAN U UP,Britschgi,D,Parma,4.0,4.0,1.0,3.0,8.0,4.0,0.0,3,15.5,82.0,5.17,0.189,3.875,20.5
TEAM ASBOVE,Bernasconi,D,Atalanta,2.0,9.0,1.0,8.0,12.0,6.0,4.0,10,62.5,99.5,6.25,0.6281,31.25,49.75
U CAN U UP,Pasalic,C,Atalanta,24.0,12.0,9.0,3.0,14.0,7.0,-17.0,28,173.0,178.0,6.18,0.9719,7.208333333333333,7.416666666666667
TEAM ASBOVE,Pellegrini Lo.,C,Roma,16.0,13.0,11.0,2.0,24.0,12.0,-4.0,24,159.0,159.0,6.62,1.0,9.9375,9.9375
U CAN U UP,Orsolini,C,Bologna,75.0,19.0,30.0,-11.0,150.0,75.0,0.0,32,214.0,214.0,6.69,1.0,2.8533333333333335,2.8533333333333335
TEAM ASBOVE,Mkhitaryan,C,Inter,11.0,14.0,9.0,5.0,14.0,7.0,-4.0,11,73.0,173.5,6.64,0.4207,6.636363636363637,15.772727272727273
U CAN U UP,Thorsby,C,Cremonese,7.0,12.0,5.0,7.0,12.0,6.0,-1.0,2,11.5,55.5,5.75,0.2072,1.6428571428571428,7.928571428571429
TEAM ASBOVE,Elmas,C,Napoli,5.0,7.0,11.0,-4.0,13.0,6.5,1.5,9,55.0,101.5,6.11,0.5419,11.0,20.3
U CAN U UP,Samardzic,C,Atalanta,6.0,9.0,12.0,-3.0,11.0,5.5,-0.5,6,39.0,57.0,6.5,0.6842,6.5,9.5
TEAM ASBOVE,Thuram K.,C,Juventus,31.0,14.0,16.0,-2.0,41.0,20.5,-10.5,12,82.0,118.0,6.83,0.6949,2.6451612903225805,3.806451612903226
U CAN U UP,Koopmeiners,C,Juventus,20.0,4.0,14.0,-10.0,11.0,5.5,-14.5,7,38.5,149.5,5.5,0.2575,1.925,7.475
TEAM ASBOVE,Rowe,C,Bologna,23.0,15.0,14.0,1.0,49.0,24.5,1.5,21,145.5,186.5,6.93,0.7802,6.326086956521739,8.108695652173912
