giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
22,CUORE LAZIALE,TEAM ASBOVE,away,1,2,L,68.0,343,,
23,11 CRISTANTE UNITED,BTGCBUGC,home,1,1,D,71.0,433,1.0,2.0
23,BTGCBUGC,11 CRISTANTE UNITED,away,1,1,D,69.5,433,,
23,LABORATORIO DATI,PREMIER LEAGUE SLOPS,home,0,0,D,65.0,343,,2.0
23,PREMIER LEAGUE SLOPS,LABORATORIO DATI,away,0,0,D,60.5,442,0.5,
23,KKK,TEAM ZTOTTI,home,2,3,L,76.5,343,,2.0
23,TEAM ZTOTTI,KKK,away,3,2,W,78.5,433,1.0,
23,CUORE LAZIALE,TEAM JODIODDR,home,3,0,W,82.5,343,,2.0
23,TEAM JODIODDR,CUORE LAZIALE,away,0,3,L,61.0,442,0.5,
23,U CAN U UP,TEAM ASBOVE,home,2,1,W,72.5,343,,2.0
23,TEAM ASBOVE,U CAN U UP,away,1,2,L,70.5,442,2.0,
24,BTGCBUGC,CUORE LAZIALE,home,1,0,W,69.0,442,,2.0
24,CUORE LAZIALE,BTGCBUGC,away,0,1,L,57.5,343,,
24,TEAM JODIODDR,U CAN U UP,home,1,2,L,71.0,442,0.5,2.0
24,U CAN U UP,TEAM JODIODDR,away,2,1,W,74.0,343,,
24,TEAM ZTOTTI,LABORATORIO DATI,home,3,2,W,81.5,433,2.0,2.0
24,LABORATORIO DATI,TEAM ZTOTTI,away,2,3,L,76.0,343,,
24,TEAM ASBOVE,KKK,home,2,1,W,72.0,442,2.0,2.0
24,KKK,TEAM ASBOVE,away,1,2,L,68.0,343,,
24,PREMIER LEAGUE SLOPS,11 CRISTANTE UNITED,home,1,2,L,70.0,442,0.5,2.0
24,11 CRISTANTE UNITED,PREMIER LEAGUE SLOPS,away,2,1,W,73.5,433,2.0,
25,11 CRISTANTE UNITED,LABORATORIO DATI,home,4,2,W,85.5,433,2.0,2.0
25,LABORATORIO DATI,11 CRISTANTE UNITED,away,2,4,L,72.5,343,,
25,KKK,TEAM JODIODDR,home,2,1,W,72.5,343,,2.0
25,TEAM JODIODDR,KKK,away,1,2,L,70.5,442,1.0,
25,CUORE LAZIALE,PREMIER LEAGUE SLOPS,home,1,1,D,71.0,451,,2.0
25,PREMIER LEAGUE SLOPS,CUORE LAZIALE,away,1,1,D,67.0,442,1.0,
25,U CAN U UP,BTGCBUGC,home,0,2,L,65.0,343,,2.0
25,BTGCBUGC,U CAN U UP,away,2,0,W,76.0,433,1.0,
25,TEAM ASBOVE,TEAM ZTOTTI,home,2,1,W,75.0,442,1.0,2.0
25,TEAM ZTOTTI,TEAM ASBOVE,away,1,2,L,68.0,433,0.5,
26,11 CRISTANTE UNITED,TEAM ZTOTTI,home,2,2,D,74.0,433,1.0,2.0
26,TEAM ZTOTTI,11 CRISTANTE UNITED,away,2,2,D,72.5,343,,
26,LABORATORIO DATI,CUORE LAZIALE,home,1,3,L,70.5,343,,2.0
26,CUORE LAZIALE,LABORATORIO DATI,away,3,1,W,80.0,442,3.0,
26,BTGCBUGC,KKK,home,1,1,D,71.5,433,0.5,2.0
26,KKK,BTGCBUGC,away,1,1,D,71.0,433,0.5,
26,TEAM JODIODDR,TEAM ASBOVE,home,1,2,L,67.5,442,0.5,2.0
26,TEAM ASBOVE,TEAM JODIODDR,away,2,1,W,73.5,442,1.0,
26,PREMIER LEAGUE SLOPS,U CAN U UP,home,3,1,W,80.5,343,,2.0
26,U CAN U UP,PREMIER LEAGUE SLOPS,away,1,3,L,71.0,343,,
27,KKK,PREMIER LEAGUE SLOPS,home,2,0,W,73.5,343,,2.0
27,PREMIER LEAGUE SLOPS,KKK,away,0,2,L,65.5,433,0.5,
27,CUORE LAZIALE,11 CRISTANTE UNITED,home,1,1,D,67.0,442,1.0,2.0
27,11 CRISTANTE UNITED,CUORE LAZIALE,away,1,1,D,67.5,433,0.5,
27,TEAM ZTOTTI,TEAM JODIODDR,home,0,2,L,64.0,433,,2.0
27,TEAM JODIODDR,TEAM ZTOTTI,away,2,0,W,76.5,442,1.0,
27,U CAN U UP,LABORATORIO DATI,home,2,1,W,72.0,343,,2.0
27,LABORATORIO DATI,U CAN U UP,away,1,2,L,70.0,433,,
27,TEAM ASBOVE,BTGCBUGC,home,1,2,L,68.0,442,1.0,2.0
27,BTGCBUGC,TEAM ASBOVE,away,2,1,W,76.0,442,1.0,
28,U CAN U UP,11 CRISTANTE UNITED,home,2,1,W,74.0,343,,2.0
