giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
8,TEAM HAIR FLICK,TEAM GLIDER,away,3,3,D,78.0,343,,
8,ASS ASS IN FC,TOMATO,home,2,1,W,77.0,343,,2.0
8,TOMATO,ASS ASS IN FC,away,1,2,L,70.0,442,0.5,
8,BOBOTOTTI,TEAM WOLFLING,home,1,0,W,71.0,343,,2.0
8,TEAM WOLFLING,BOBOTOTTI,away,0,1,L,56.5,433,0.5,
8,TEAM YANGTUO,CHELSEA,home,1,0,W,66.0,343,,2.0
8,CHELSEA,TEAM YANGTUO,away,0,1,L,63.0,343,,
8,PAUL POGSHAO,VINCENZO,home,2,1,W,76.0,433,1.0,2.0
8,VINCENZO,PAUL POGSHAO,away,1,2,L,69.5,433,0.5,
9,TEAM WOLFLING,PAUL POGSHAO,home,1,1,D,68.5,541,1.0,2.0
9,PAUL POGSHAO,TEAM WOLFLING,away,1,1,D,66.0,442,0.5,
9,TOMATO,TEAM GLIDER,home,3,0,W,80.5,442,0.5,2.0
9,TEAM GLIDER,TOMATO,away,0,3,L,62.5,343,,
9,TEAM HAIR FLICK,TEAM YANGTUO,home,2,0,W,72.5,433,1.0,2.0
9,TEAM YANGTUO,TEAM HAIR FLICK,away,0,2,L,65.0,433,1.0,
9,VINCENZO,ASS ASS IN FC,home,0,0,D,62.5,433,,2.0
9,ASS ASS IN FC,VINCENZO,away,0,0,D,58.0,352,,
9,CHELSEA,BOBOTOTTI,home,1,1,D,71.0,343,,2.0
9,BOBOTOTTI,CHELSEA,away,1,1,D,67.5,343,,
10,TEAM GLIDER,TEAM WOLFLING,home,1,2,L,67.5,343,,2.0
10,TEAM WOLFLING,TEAM GLIDER,away,2,1,W,73.5,442,,
10,ASS ASS IN FC,BOBOTOTTI,home,1,1,D,69.5,343,,2.0
10,BOBOTOTTI,ASS ASS IN FC,away,1,1,D,69.0,343,,
10,TEAM HAIR FLICK,CHELSEA,home,2,2,D,74.5,433,1.0,2.0
10,CHELSEA,TEAM HAIR FLICK,away,2,2,D,73.5,433,0.5,
10,VINCENZO,TEAM YANGTUO,home,2,1,W,73.5,433,,2.0
10,TEAM YANGTUO,VINCENZO,away,1,2,L,69.0,343,,
10,PAUL POGSHAO,TOMATO,home,4,2,W,85.0,442,2.0,2.0
10,TOMATO,PAUL POGSHAO,away,2,4,L,75.0,433,0.5,
11,TEAM WOLFLING,ASS ASS IN FC,home,1,3,L,68.5,433,1.0,2.0
11,ASS ASS IN FC,TEAM WOLFLING,away,3,1,W,79.0,343,,
11,TOMATO,VINCENZO,home,1,1,D,68.0,343,,2.0
11,VINCENZO,TOMATO,away,1,1,D,70.0,433,1.0,
11,CHELSEA,PAUL POGSHAO,home,3,0,W,80.5,433,0.5,2.0
11,PAUL POGSHAO,CHELSEA,away,0,3,L,63.0,442,0.5,
11,TEAM YANGTUO,TEAM HAIR FLICK,home,3,1,W,78.5,433,1.0,2.0
11,TEAM HAIR FLICK,TEAM YANGTUO,away,1,3,L,70.5,343,,
11,BOBOTOTTI,TEAM GLIDER,home,2,0,W,75.0,343,,2.0
11,TEAM GLIDER,BOBOTOTTI,away,0,2,L,60.0,442,,
12,PAUL POGSHAO,TEAM WOLFLING,home,2,4,L,72.5,442,2.0,2.0
12,TEAM WOLFLING,PAUL POGSHAO,away,4,2,W,85.0,442,1.0,
12,VINCENZO,TEAM GLIDER,home,2,0,W,72.0,433,0.5,2.0
12,TEAM GLIDER,VINCENZO,away,0,2,L,62.0,343,,
