giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
21,BALZARETTI42,TEAM BRAUNA,home,1,2,L,70.5,343,,2.0
21,TEAM BRAUNA,BALZARETTI42,away,2,1,W,76.0,433,2.0,
21,TEAM SITH,MIZI-MAIGO,home,2,2,D,72.0,442,0.5,2.0
21,MIZI-MAIGO,TEAM SITH,away,2,2,D,73.5,433,3.0,
21,SANSHIMI,BOSS ROMAZDA,home,3,3,D,80.0,442,3.0,2.0
21,BOSS ROMAZDA,SANSHIMI,away,3,3,D,83.5,343,,
21,MARIO GO,TEAM CHENFENGZI,home,2,0,W,73.0,442,0.5,2.0
21,TEAM CHENFENGZI,MARIO GO,away,0,2,L,65.5,352,,
21,XIAO SHI,X-17,home,3,0,W,81.5,532,2.0,2.0
21,X-17,XIAO SHI,away,0,3,L,56.5,532,0.5,
22,BOSS ROMAZDA,MARIO GO,home,3,1,W,78.5,343,,2.0
22,MARIO GO,BOSS ROMAZDA,away,1,3,L,71.5,442,0.5,
22,X-17,TEAM SITH,home,1,1,D,67.0,532,1.0,2.0
22,TEAM SITH,X-17,away,1,1,D,66.5,442,,
22,MIZI-MAIGO,BALZARETTI42,home,3,0,W,78.0,433,4.0,2.0
22,BALZARETTI42,MIZI-MAIGO,away,0,3,L,56.5,433,0.5,
22,TEAM CHENFENGZI,XIAO SHI,home,2,3,L,73.5,352,,2.0
22,XIAO SHI,TEAM CHENFENGZI,away,3,2,W,80.0,442,2.0,
22,TEAM BRAUNA,SANSHIMI,home,4,1,W,86.0,433,1.0,2.0
22,SANSHIMI,TEAM BRAUNA,away,1,4,L,71.5,433,,
23,BALZARETTI42,X-17,home,0,2,L,65.5,442,0.5,2.0
23,X-17,BALZARETTI42,away,2,0,W,73.0,532,0.5,
23,TEAM SITH,XIAO SHI,home,0,0,D,61.0,442,,2.0
23,XIAO SHI,TEAM SITH,away,0,0,D,64.0,532,0.5,
23,BOSS ROMAZDA,TEAM CHENFENGZI,home,2,1,W,76.0,343,,2.0
23,TEAM CHENFENGZI,BOSS ROMAZDA,away,1,2,L,71.0,352,,
23,SANSHIMI,MIZI-MAIGO,home,1,1,D,71.5,433,1.0,2.0
23,MIZI-MAIGO,SANSHIMI,away,1,1,D,68.0,442,1.0,
23,MARIO GO,TEAM BRAUNA,home,3,2,W,80.5,352,,2.0
23,TEAM BRAUNA,MARIO GO,away,2,3,L,77.5,433,0.5,
24,X-17,SANSHIMI,home,1,0,W,67.5,532,0.5,2.0
24,SANSHIMI,X-17,away,0,1,L,61.5,433,,
24,MIZI-MAIGO,MARIO GO,home,3,1,W,78.0,442,3.0,2.0
24,MARIO GO,MIZI-MAIGO,away,1,3,L,66.5,433,0.5,
24,TEAM CHENFENGZI,TEAM SITH,home,3,1,W,78.0,433,2.0,2.0
24,TEAM SITH,TEAM CHENFENGZI,away,1,3,L,66.5,442,0.5,
24,TEAM BRAUNA,BOSS ROMAZDA,home,2,1,W,77.0,433,3.0,2.0
24,BOSS ROMAZDA,TEAM BRAUNA,away,1,2,L,69.0,343,,
24,XIAO SHI,BALZARETTI42,home,1,2,L,71.5,532,1.0,2.0
24,BALZARETTI42,XIAO SHI,away,2,1,W,76.5,541,1.0,
25,BALZARETTI42,TEAM SITH,home,1,0,W,68.0,451,1.0,2.0
25,TEAM SITH,BALZARETTI42,away,0,1,L,63.5,442,0.5,
25,BOSS ROMAZDA,MIZI-MAIGO,home,2,2,D,73.0,343,,2.0
25,MIZI-MAIGO,BOSS ROMAZDA,away,2,2,D,72.5,343,,
25,SANSHIMI,XIAO SHI,home,3,1,W,78.5,433,0.5,2.0
25,XIAO SHI,SANSHIMI,away,1,3,L,71.5,442,0.5,
