giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
34,TEAM ASRSUPERJULIAN,WINNING MOMENT,home,1,1,D,70.5,343,,2.0
34,WINNING MOMENT,TEAM ASRSUPERJULIAN,away,1,1,D,71.5,442,0.5,
35,BJ EASTONE FC,FANTA GPT,home,0,2,L,53.5,451,0.5,2.0
35,FANTA GPT,BJ EASTONE FC,away,2,0,W,73.5,433,2.0,
35,BOVE,KKK,home,1,1,D,68.5,442,0.5,2.0
35,KKK,BOVE,away,1,1,D,70.5,433,,
35,TEAM ASRSUPERJULIAN,ETHANANITA,home,3,1,W,78.0,433,1.0,2.0
35,ETHANANITA,TEAM ASRSUPERJULIAN,away,1,3,L,69.0,532,2.0,
35,WINNING MOMENT,VENI VIDI VICI,home,2,0,W,74.5,442,1.0,2.0
35,VENI VIDI VICI,WINNING MOMENT,away,0,2,L,59.5,433,,
35,TIGER REBELS,DARTH VADER,home,2,1,W,76.0,442,0.5,2.0
35,DARTH VADER,TIGER REBELS,away,1,2,L,67.0,433,0.5,
36,FANTA GPT,WINNING MOMENT,home,1,0,W,70.5,433,1.0,2.0
36,WINNING MOMENT,FANTA GPT,away,0,1,L,63.0,442,0.5,
36,ETHANANITA,TIGER REBELS,home,0,1,L,65.5,532,1.0,2.0
36,TIGER REBELS,ETHANANITA,away,1,0,W,69.5,442,,
36,VENI VIDI VICI,BOVE,home,1,2,L,66.5,433,0.5,2.0
36,BOVE,VENI VIDI VICI,away,2,1,W,74.5,442,1.0,
36,DARTH VADER,BJ EASTONE FC,home,1,0,W,70.0,343,,2.0
36,BJ EASTONE FC,DARTH VADER,away,0,1,L,56.0,451,,
36,KKK,TEAM ASRSUPERJULIAN,home,3,0,W,83.0,343,,2.0
36,TEAM ASRSUPERJULIAN,KKK,away,0,3,L,65.5,433,,
