participant,role,player,club,costo,credits_residui
Paul Pogshao,D,Hien,Ata,7.0,0.0
Gallifrey,D,Kelly L.,Juv,7.0,2.0
Paul Pogshao,D,Kempf,Com,18.0,0.0
Gallifrey,D,Marianucci,Tor,3.0,2.0
Paul Pogshao,D,Wesley,Rom,31.0,0.0
Gallifrey,D,Valle,Com,6.0,2.0
Paul Pogshao,D,Bozhinov,Pis,1.0,0.0
Gallifrey,D,Solet,Udi,19.0,2.0
Paul Pogshao,C,Cristante,Rom,15.0,0.0
Gallifrey,C,El Shaarawy,Rom,11.0,2.0
Paul Pogshao,C,Da Cunha,Com,10.0,0.0
Gallifrey,C,Barella,Int,41.0,2.0
Paul Pogshao,C,Stengs,Pis,1.0,0.0
Gallifrey,C,Pulisic,Mil,90.0,2.0
Paul Pogshao,C,Koopmeiners,Juv,22.0,0.0
Gallifrey,C,Strefezza,Par,10.0,2.0
Paul Pogshao,C,Perrone,Com,8.0,0.0
Gallifrey,C,Frendrup,Gen,11.0,2.0
Paul Pogshao,C,Oristanio,Par,4.0,0.0
Gallifrey,C,Casadei,Tor,12.0,2.0
Paul Pogshao,C,El Aynaoui,Rom,14.0,0.0
Gallifrey,C,Ekkelenkamp,Udi,14.0,2.0
Paul Pogshao,C,Paz N.,Com,74.0,0.0
Gallifrey,C,Sucic P.,Int,11.0,2.0
Paul Pogshao,A,Vardy,Cre,31.0,0.0
Gallifrey,A,Dybala,Rom,90.0,2.0
Paul Pogshao,A,Fullkrug,Mil,19.0,0.0
Gallifrey,A,Lukaku,Nap,15.0,2.0
Paul Pogshao,A,Laurientè,Sas,16.0,0.0
Gallifrey,A,Cambiaghi,Bol,16.0,2.0
Paul Pogshao,A,Giovane,Nap,17.0,0.0
Gallifrey,A,Esposito Se.,Cag,17.0,2.0
Paul Pogshao,A,Ratkov,Laz,20.0,0.0
Gallifrey,A,Hojlund,Nap,55.0,2.0
Paul Pogshao,A,Elphege,Par,1.0,0.0
Gallifrey,A,Bonny,Int,10.0,2.0
Zdenek Zeman,P,Perin,Juv,1.0,0.0
Team ASRSuperjulian,P,Sommer,Int,46.0,1.0
Zdenek Zeman,P,Pinsoglio,Juv,1.0,0.0
Team ASRSuperjulian,P,Provedel,Laz,14.0,1.0
Zdenek Zeman,P,Di Gregorio,Juv,34.0,0.0
Team ASRSuperjulian,P,Martinez Jo.,Int,1.0,1.0
Zdenek Zeman,D,Juan Jesus,Nap,3.0,0.0
Team ASRSuperjulian,D,N'Dicka,Rom,10.0,1.0
Zdenek Zeman,D,Rrahmani,Nap,20.0,0.0
Team ASRSuperjulian,D,Zortea,Bol,17.0,1.0
Zdenek Zeman,D,Maripan,Tor,11.0,0.0
Team ASRSuperjulian,D,Parisi,Fio,7.0,1.0
Zdenek Zeman,D,Kalulu,Juv,14.0,0.0
Team ASRSuperjulian,D,Scalvini,Ata,9.0,1.0
Zdenek Zeman,D,Gatti,Juv,8.0,0.0
Team ASRSuperjulian,D,Gaspar K.,Lec,9.0,1.0
Zdenek Zeman,D,Valeri,Par,14.0,0.0
Team ASRSuperjulian,D,Solet,Udi,18.0,1.0
Zdenek Zeman,D,Gaspar K.,Lec,8.0,0.0
Team ASRSuperjulian,D,Floriani Mussolini,Cre,4.0,1.0
Zdenek Zeman,D,Kempf,Com,13.0,0.0
Team ASRSuperjulian,D,Ziolkowski,Rom,4.0,1.0
Zdenek Zeman,C,Politano,Nap,42.0,0.0
Team ASRSuperjulian,C,Zaccagni,Laz,66.0,1.0
Zdenek Zeman,C,Mandragora,Fio,25.0,0.0
Team ASRSuperjulian,C,Orsolini,Bol,76.0,1.0
Zdenek Zeman,C,Orsolini,Bol,66.0,0.0
Team ASRSuperjulian,C,Messias,Gen,7.0,1.0
Zdenek Zeman,C,Zaniolo,Udi,20.0,0.0
Team ASRSuperjulian,C,Bondo,Cre,4.0,1.0
Zdenek Zeman,C,Gaetano,Cag,13.0,0.0
Team ASRSuperjulian,C,Berisha M.,Lec,14.0,1.0
Zdenek Zeman,C,Malinovskyi,Gen,15.0,0.0
Team ASRSuperjulian,C,Pisilli,Rom,6.0,1.0
Zdenek Zeman,C,Folorunsho,Cag,8.0,0.0
Team ASRSuperjulian,C,Prati,Tor,6.0,1.0
Zdenek Zeman,C,Bernabè,Par,28.0,0.0
Team ASRSuperjulian,C,Gandelman,Lec,6.0,1.0
Zdenek Zeman,A,Morata,Com,3.0,0.0
Team ASRSuperjulian,A,Scamacca,Ata,50.0,1.0
Zdenek Zeman,A,Pedro,Laz,7.0,0.0
Team ASRSuperjulian,A,Malen,Rom,34.0,1.0
Zdenek Zeman,A,Fullkrug,Mil,13.0,0.0
Team ASRSuperjulian,A,Cheddira,Lec,7.0,1.0
Zdenek Zeman,A,Boga,Juv,6.0,0.0
Team ASRSuperjulian,A,Adams C.,Tor,13.0,1.0
Zdenek Zeman,A,Nkunku,Mil,31.0,0.0
Team ASRSuperjulian,A,Diao,Com,25.0,1.0
Zdenek Zeman,A,Moreo,Pis,14.0,0.0
Team ASRSuperjulian,A,Ratkov,Laz,15.0,1.0
BatiGoal,P,Terracciano,Mil,1.0,1.0
SummerED,P,Gollini,Rom,1.0,1.0
BatiGoal,P,Maignan,Mil,29.0,1.0
SummerED,P,Svilar,Rom,35.0,1.0
BatiGoal,P,Torriani,Mil,1.0,1.0
SummerED,P,Zelezny,Rom,1.0,1.0
BatiGoal,D,Vojvoda,Com,14.0,1.0
SummerED,D,Djimsiti,Ata,8.0,1.0
BatiGoal,D,Estupinan,Mil,3.0,1.0
SummerED,D,Gosens,Fio,22.0,1.0
BatiGoal,D,Pongracic,Fio,4.0,1.0
SummerED,D,Pavlovic,Mil,19.0,1.0
BatiGoal,D,Dossena,Cag,1.0,1.0
SummerED,D,Baschirotto,Cre,12.0,1.0
BatiGoal,D,Bartesaghi,Mil,17.0,1.0
SummerED,D,Bisseck,Int,8.0,1.0
BatiGoal,D,Norton-Cuffy,Gen,8.0,1.0
SummerED,D,Delprato,Par,13.0,1.0
BatiGoal,D,Canestrelli,Pis,6.0,1.0
SummerED,D,Palestra,Cag,4.0,1.0
BatiGoal,D,Wesley,Rom,40.0,1.0
SummerED,D,Muharemovic,Sas,9.0,1.0
BatiGoal,C,Zaccagni,Laz,79.0,1.0
SummerED,C,Locatelli,Juv,21.0,1.0
BatiGoal,C,Zambo Anguissa,Nap,27.0,1.0
SummerED,C,Rabiot,Mil,48.0,1.0
BatiGoal,C,McTominay,Nap,100.0,1.0
SummerED,C,Brescianini,Fio,11.0,1.0
BatiGoal,C,McKennie,Juv,11.0,1.0
SummerED,C,Vlasic,Tor,14.0,1.0
BatiGoal,C,Da Cunha,Com,25.0,1.0
SummerED,C,Baldanzi,Gen,6.0,1.0
BatiGoal,C,El Aynaoui,Rom,4.0,1.0
SummerED,C,Zaragoza,Rom,11.0,1.0
BatiGoal,C,Atta,Udi,17.0,1.0
SummerED,C,Rowe,Bol,14.0,1.0
BatiGoal,C,Santos A.,Nap,7.0,1.0
SummerED,C,Tourè I.,Pis,8.0,1.0
BatiGoal,A,Piccoli,Fio,9.0,1.0
SummerED,A,Vardy,Cre,22.0,1.0
BatiGoal,A,Leao,Mil,80.0,1.0
SummerED,A,Malen,Rom,44.0,1.0
BatiGoal,A,Colombo,Gen,11.0,1.0
SummerED,A,Ferguson E.,Rom,15.0,1.0
BatiGoal,A,Djuric,Cre,2.0,1.0
SummerED,A,Castro S.,Bol,70.0,1.0
BatiGoal,A,Diao,Com,22.0,1.0
SummerED,A,Dallinga,Bol,8.0,1.0
BatiGoal,A,Kilicsoy,Cag,17.0,1.0
SummerED,A,Pellegrino M.,Par,53.0,1.0
bushaozi,P,Sportiello,Ata,1.0,0.0
ChowpouRoma,P,Leali,Gen,9.0,1.0
bushaozi,P,Rossi F.,Ata,1.0,0.0
ChowpouRoma,P,Sommariva,Gen,1.0,1.0
bushaozi,P,Carnesecchi,Ata,20.0,0.0
ChowpouRoma,P,Bijlow,Gen,9.0,1.0
bushaozi,D,Marusic,Laz,8.0,0.0
