giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
30,BATIGOAL,CHOWPOUROMA,away,0,1,L,64.5,343,,
30,HIGHRIVER,TEAM DELVECCHIO23,home,1,1,D,66.5,343,,2.0
30,TEAM DELVECCHIO23,HIGHRIVER,away,1,1,D,66.0,343,,
30,ZDENEK ZEMAN,BUSHAOZI,home,3,3,D,78.5,352,,2.0
30,BUSHAOZI,ZDENEK ZEMAN,away,3,3,D,79.0,352,,
30,FC MCDONALD,TEAM SJ,home,1,0,W,68.0,343,,2.0
30,TEAM SJ,FC MCDONALD,away,0,1,L,61.0,433,,
30,SUMMERED,GALLIFREY,home,4,2,W,89.5,442,1.0,2.0
30,GALLIFREY,SUMMERED,away,2,4,L,77.5,343,,
31,GALLIFREY,CHOWPOUROMA,home,1,2,L,70.5,442,0.5,2.0
31,CHOWPOUROMA,GALLIFREY,away,2,1,W,72.5,433,1.0,
31,BATIGOAL,HIGHRIVER,home,1,0,W,69.0,352,,2.0
31,HIGHRIVER,BATIGOAL,away,0,1,L,59.5,343,,
31,TEAM SJ,SUMMERED,home,2,2,D,74.0,433,1.0,2.0
31,SUMMERED,TEAM SJ,away,2,2,D,75.5,442,2.0,
31,BUSHAOZI,FC MCDONALD,home,3,2,W,83.5,451,2.0,2.0
31,FC MCDONALD,BUSHAOZI,away,2,3,L,72.0,343,,
31,TEAM DELVECCHIO23,ZDENEK ZEMAN,home,1,1,D,71.5,343,,2.0
31,ZDENEK ZEMAN,TEAM DELVECCHIO23,away,1,1,D,68.5,442,1.0,
32,HIGHRIVER,CHOWPOUROMA,home,2,0,W,74.5,343,,2.0
32,CHOWPOUROMA,HIGHRIVER,away,0,2,L,64.5,433,0.5,
32,TEAM SJ,GALLIFREY,home,2,0,W,72.5,442,0.5,2.0
32,GALLIFREY,TEAM SJ,away,0,2,L,65.5,343,,
32,FC MCDONALD,BATIGOAL,home,1,4,L,71.5,343,,2.0
32,BATIGOAL,FC MCDONALD,away,4,1,W,87.0,352,,
32,TEAM DELVECCHIO23,BUSHAOZI,home,2,1,W,76.5,343,,2.0
32,BUSHAOZI,TEAM DELVECCHIO23,away,1,2,L,66.0,451,1.0,
32,ZDENEK ZEMAN,SUMMERED,home,1,3,L,70.0,451,1.0,2.0
32,SUMMERED,ZDENEK ZEMAN,away,3,1,W,78.5,442,1.0,
33,CHOWPOUROMA,TEAM SJ,home,3,2,W,81.5,433,1.0,2.0
33,TEAM SJ,CHOWPOUROMA,away,2,3,L,73.5,433,2.0,
33,SUMMERED,HIGHRIVER,home,1,2,L,68.0,532,0.5,2.0
33,HIGHRIVER,SUMMERED,away,2,1,W,72.0,343,,
33,GALLIFREY,TEAM DELVECCHIO23,home,2,1,W,73.5,442,2.0,2.0
33,TEAM DELVECCHIO23,GALLIFREY,away,1,2,L,67.0,343,,
33,BUSHAOZI,BATIGOAL,home,1,0,W,69.5,352,,2.0
33,BATIGOAL,BUSHAOZI,away,0,1,L,64.5,352,,
33,FC MCDONALD,ZDENEK ZEMAN,home,0,0,D,63.0,343,,2.0
33,ZDENEK ZEMAN,FC MCDONALD,away,0,0,D,59.5,451,,
34,TEAM DELVECCHIO23,CHOWPOUROMA,home,0,1,L,63.5,343,,2.0
34,CHOWPOUROMA,TEAM DELVECCHIO23,away,1,0,W,68.0,433,,
34,GALLIFREY,BUSHAOZI,home,3,2,W,79.5,433,1.0,2.0
34,BUSHAOZI,GALLIFREY,away,2,3,L,72.5,352,,
34,BATIGOAL,SUMMERED,home,0,3,L,64.5,352,,2.0
34,SUMMERED,BATIGOAL,away,3,0,W,79.0,442,0.5,
34,TEAM SJ,ZDENEK ZEMAN,home,3,1,W,78.5,343,,2.0
34,ZDENEK ZEMAN,TEAM SJ,away,1,3,L,68.0,451,1.0,
34,HIGHRIVER,FC MCDONALD,home,0,2,L,62.5,343,,2.0
34,FC MCDONALD,HIGHRIVER,away,2,0,W,72.0,343,,
35,CHOWPOUROMA,FC MCDONALD,home,1,0,W,66.5,442,,2.0
35,FC MCDONALD,CHOWPOUROMA,away,0,1,L,54.5,343,,
35,TEAM SJ,BATIGOAL,home,1,1,D,70.0,343,,2.0
35,BATIGOAL,TEAM SJ,away,1,1,D,67.0,352,,
35,HIGHRIVER,BUSHAOZI,home,0,0,D,61.5,343,,2.0
35,BUSHAOZI,HIGHRIVER,away,0,0,D,62.0,442,0.5,
35,TEAM DELVECCHIO23,SUMMERED,home,3,1,W,82.0,352,,2.0
35,SUMMERED,TEAM DELVECCHIO23,away,1,3,L,71.0,433,0.5,
35,ZDENEK ZEMAN,GALLIFREY,home,3,4,L,83.0,451,1.0,2.0
35,GALLIFREY,ZDENEK ZEMAN,away,4,3,W,85.0,433,2.0,
36,SUMMERED,CHOWPOUROMA,home,2,1,W,76.0,343,,2.0
36,CHOWPOUROMA,SUMMERED,away,1,2,L,68.5,442,0.5,
36,FC MCDONALD,TEAM DELVECCHIO23,home,2,1,W,74.0,343,,2.0
36,TEAM DELVECCHIO23,FC MCDONALD,away,1,2,L,70.5,352,,
36,BUSHAOZI,TEAM SJ,home,0,1,L,62.5,442,0.5,2.0
36,TEAM SJ,BUSHAOZI,away,1,0,W,68.0,343,,
36,BATIGOAL,ZDENEK ZEMAN,home,2,0,W,73.5,352,,2.0
36,ZDENEK ZEMAN,BATIGOAL,away,0,2,L,59.5,442,1.0,
36,GALLIFREY,HIGHRIVER,home,4,0,W,84.0,343,,2.0
36,HIGHRIVER,GALLIFREY,away,0,4,L,61.0,343,,
